angle,magnitude,occurrences
0.0,0.2,175
-2.77,0.21,175
-0.17,0.18,175
0.94,0.2,175
-1.57,0.24,175
-2.65,0.18,175
-1.38,0.23,175
0.7,0.18,174
-1.99,0.21,174
-1.67,0.22,174
-2.36,0.2,174
0.28,0.15,174
-0.79,0.21,174
2.14,0.22,174
-0.83,0.19,174
-1.35,0.24,174
2.2,0.24,174
-3.08,0.18,174
-2.28,0.2,174
-1.52,0.2,173
-1.11,0.21,173
2.78,0.18,173
-0.38,0.17,173
1.88,0.21,173
1.82,0.22,173
0.59,0.19,173
1.52,0.2,173
-2.63,0.2,173
-2.82,0.17,173
1.71,0.24,173
-1.09,0.23,172
0.83,0.19,172
-2.68,0.19,172
-2.17,0.21,172
1.41,0.2,172
1.77,0.22,172
2.29,0.24,172
1.03,0.19,172
-1.45,0.26,172
0.46,0.19,172
2.25,0.2,172
-0.97,0.21,172
0.6,0.21,172
2.93,0.21,172
0.44,0.18,172
-1.79,0.24,172
-3.03,0.18,171
2.05,0.23,171
0.92,0.23,171
-1.48,0.22,171
1.01,0.2,171
0.67,0.2,171
-1.26,0.21,171
2.36,0.21,170
-0.28,0.15,170
-1.8,0.23,170
0.36,0.18,170
-2.14,0.22,170
-0.06,0.18,170
0.23,0.19,170
-0.06,0.19,170
0.71,0.2,170
0.19,0.17,169
-1.25,0.24,169
1.13,0.2,169
2.19,0.22,169
1.67,0.22,169
-1.75,0.24,169
0.41,0.19,169
-1.94,0.21,169
2.21,0.21,169
-1.95,0.23,168
1.66,0.23,168
-1.62,0.2,168
0.54,0.19,168
-2.47,0.2,168
-1.48,0.25,168
1.26,0.21,168
2.22,0.23,168
1.57,0.26,168
-1.06,0.2,167
-0.57,0.22,167
1.62,0.22,167
1.57,0.22,167
1.52,0.22,167
-1.34,0.23,167
2.43,0.21,167
0.22,0.2,167
0.49,0.18,167
-1.57,0.26,167
2.42,0.23,167
-1.57,0.22,167
2.72,0.21,167
-0.95,0.24,166
-0.75,0.22,166
-2.19,0.22,166
-2.54,0.21,166
2.32,0.22,166
-2.43,0.21,166
0.63,0.2,166
-0.72,0.24,166
1.31,0.21,166
-0.37,0.21,166
1.09,0.23,166
-2.82,0.2,165
2.57,0.22,165
-3.14,0.16,165
-3.14,0.15,165
-1.0,0.22,165
0.69,0.17,165
-1.28,0.22,165
-2.98,0.19,165
-1.61,0.24,165
-0.22,0.2,165
-0.79,0.23,164
-2.75,0.2,164
-0.7,0.18,164
-2.97,0.18,164
-2.7,0.2,164
-1.4,0.25,164
-2.32,0.22,164
1.92,0.25,163
-1.7,0.25,163
0.89,0.22,163
-1.92,0.25,163
-0.72,0.23,163
-0.65,0.23,163
-0.41,0.19,163
-1.66,0.25,162
1.88,0.25,162
-3.14,0.17,162
-1.29,0.23,162
-0.34,0.19,162
1.28,0.26,162
-0.6,0.21,162
0.29,0.19,162
-2.39,0.2,162
1.74,0.25,161
0.9,0.2,161
1.91,0.26,161
2.63,0.2,161
2.39,0.22,161
2.23,0.24,161
1.11,0.21,161
3.04,0.2,161
1.0,0.22,161
1.57,0.24,161
3.09,0.2,161
0.79,0.21,161
-0.56,0.2,161
0.71,0.21,160
-0.29,0.22,160
-1.79,0.25,160
-2.87,0.2,160
-2.58,0.2,160
3.04,0.21,160
-2.26,0.23,160
-1.87,0.26,160
-1.11,0.24,160
0.06,0.19,160
-2.16,0.23,160
0.82,0.2,160
1.33,0.26,160
-2.12,0.22,160
1.3,0.24,160
2.01,0.22,159
0.86,0.2,159
2.17,0.24,159
1.22,0.22,159
3.03,0.19,159
-0.11,0.19,159
2.27,0.25,159
0.27,0.2,159
-2.21,0.21,159
0.67,0.19,159
2.29,0.21,159
-1.37,0.26,159
-1.21,0.24,159
2.25,0.22,159
1.44,0.24,159
2.11,0.25,159
-1.77,0.27,159
-0.32,0.2,159
1.33,0.22,158
1.66,0.25,158
2.04,0.24,158
2.8,0.19,158
1.98,0.24,158
2.12,0.29,158
-1.86,0.22,158
-2.25,0.2,158
1.2,0.21,157
0.53,0.21,157
0.0,0.19,157
